2003,$2499,,2003 honda civic lx,https://miami.craigslist.org/pbc/cto/d/delray-beach-2003-honda-civic-rebuild/6961153483.html,good,fwd,gas,,custom,compact,clean,automatic,sedan,4 cylinders
2011,$6000,143925,2011 Honda Civic,https://miami.craigslist.org/brw/cto/d/pompano-beach-2011-honda-civic-lx-sedan/6961141215.html,excellent,fwd,gas,143925,white,mid-size,clean,automatic,sedan,4 cylinders
2003,$4450,167000,2003 honda civic si,https://miami.craigslist.org/mdc/cto/d/homestead-03-honda-civic-si/6961135715.html,good,fwd,gas,167000,black,compact,clean,manual,hatchback,4 cylinders
1996,$1200,,1996 Honda Civic 1996,https://miami.craigslist.org/brw/cto/d/miami-1996-honda-civic-stick/6961130968.html,,,gas,,,,clean,manual,,
1999,$2000,144836,1999 Honda Civic Coupe,https://miami.craigslist.org/mdc/cto/d/miami-1999-honda-civic-coupe/6961129204.html,fair,fwd,gas,144836,silver,compact,clean,automatic,coupe,4 cylinders
2002,$2900,,2002 honda civic ex,https://miami.craigslist.org/brw/cto/d/hollywood-honda-accord-ex-2002/6961126877.html,excellent,,gas,,grey,,clean,automatic,coupe,6 cylinders
2009,$4700,130300,2009 honda civic lx sedan,https://miami.craigslist.org/brw/cto/d/pompano-beach-honda-civic-2009/6960964177.html,good,fwd,gas,130300,grey,mid-size,clean,automatic,sedan,4 cylinders
2014,$6400,34000,2014 honda civic,https://miami.craigslist.org/mdc/cto/d/opa-locka-2014-honda-civic-weekend/6960760541.html,like new,fwd,gas,34000,silver,,clean,automatic,,
2012,$10000,96027,2012 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-white-honda-civic/6960568715.html,good,,gas,96027,white,,clean,automatic,,
2008,$3700,,2008 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-honda-civic-2008/6960365923.html,good,fwd,gas,,blue,compact,clean,automatic,sedan,4 cylinders
2005,$2300,168000,2005 Honda civic sedan,https://miami.craigslist.org/mdc/cto/d/miami-honda-civic/6960358663.html,like new,,gas,168000,black,,rebuilt,automatic,sedan,4 cylinders
2011,$7500,,2011 Honda Civic,https://miami.craigslist.org/brw/cto/d/kissimmee-2011-honda-civic-si-coupe/6960249713.html,,,gas,,,,clean,manual,,
2011,$7500,,2011 Honda Civic,https://miami.craigslist.org/brw/cto/d/pompano-beach-2011-honda-civic-si-coupe/6960196928.html,,,gas,,,,clean,manual,,
2001,$1800,132000,2001 honda civic lx,https://miami.craigslist.org/mdc/cto/d/miami-2001-honda-civic/6960121070.html,good,,gas,132000,,,clean,automatic,,
2010,$5200,,2010 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-2010-honda-civic/6960102863.html,like new,,gas,,,,clean,automatic,,4 cylinders
2008,$3700,106000,2008 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-honda-civic-2008/6960012985.html,good,fwd,gas,106000,blue,compact,clean,automatic,sedan,4 cylinders
2008,$1000,,2008 honda civic ex,https://miami.craigslist.org/brw/cto/d/hollywood-honda-civic/6959979396.html,fair,4wd,gas,,green,compact,salvage,manual,sedan,4 cylinders
1998,$1300,,1998 Honda Civic,https://miami.craigslist.org/brw/cto/d/pompano-beach-1998-honda-civic/6959939443.html,,,gas,,,,clean,automatic,,
2013,$8900,,2013 Honda Civic,https://miami.craigslist.org/brw/cto/d/pompano-beach-2013-honda-civic-runs-and/6959936416.html,,,gas,,,,clean,automatic,,
2008,$2700,,2008 honda civic lx,https://miami.craigslist.org/mdc/cto/d/miami-2008-civic-2-door/6959829679.html,,,gas,,,,clean,automatic,,
1999,$1300,169000,1999 Honda Civic LX,https://miami.craigslist.org/mdc/cto/d/hialeah-1999-honda-civic-lx/6959637152.html,fair,fwd,gas,169000,green,,clean,automatic,sedan,4 cylinders
2010,$4500,111000,2010 honda civic,https://miami.craigslist.org/brw/cto/d/fort-lauderdale-honda-civic-coupe-2010/6959631344.html,good,fwd,gas,111000,blue,full-size,clean,automatic,coupe,4 cylinders
2003,$2000,162000,2003 honda civic,https://miami.craigslist.org/mdc/cto/d/hialeah-honda-civic-2003/6959629603.html,good,fwd,gas,162000,silver,compact,clean,automatic,sedan,4 cylinders
2013,$6900,70563,2013 honda civic,https://miami.craigslist.org/mdc/cto/d/hialeah-honda-civic-2013/6959488449.html,,,gas,70563,,,clean,automatic,,
2009,$5800,62368,2009 honda civic,https://miami.craigslist.org/pbc/cto/d/boynton-beach-2009-honda-civic-vp-sedan/6959230273.html,excellent,fwd,gas,62368,black,compact,clean,automatic,sedan,4 cylinders
2005,$1900,140000,2005 honda civic ex,https://miami.craigslist.org/mdc/cto/d/hialeah-honda-civic-clean-title/6959156019.html,like new,,gas,140000,,,clean,automatic,,4 cylinders
2006,$3400,137200,2006 honda civic,https://miami.craigslist.org/mdc/cto/d/miami-2006-honda-civic-coupe-by-owner/6959089462.html,excellent,fwd,gas,137200,blue,mid-size,clean,automatic,coupe,4 cylinders
